gamma,Re L,Im L,|L|
2.8207,778.385933,-5115.161436,5174.046886
2.8407,482.862738,-5130.716541,5153.388075
2.8607,187.968585,-5129.404210,5132.847138
2.8807,-105.340941,-5111.339412,5112.424796
2.9007,-396.120933,-5076.691013,5092.121703
2.9207,-683.440191,-5025.680955,5071.938442
2.9407,-966.384200,-4958.583256,5051.875525
2.9607,-1244.058031,-4875.722847,5031.933393
2.9807,-1515.589175,-4777.474255,5012.112410
3.0008,-1780.130277,-4664.260116,4992.412867
3.0208,-2036.861792,-4536.549544,4972.834979
3.0408,-2284.994519,-4394.856357,4953.378882
3.0608,-2523.772039,-4239.737156,4934.044635
3.0808,-2752.473027,-4071.789281,4914.832216
3.1008,-2970.413433,-3891.648634,4895.741522
3.1208,-3176.948545,-3699.987392,4876.772371
3.1408,-3371.474895,-3497.511607,4857.924496
3.1608,-3553.432034,-3284.958705,4839.197549
3.1808,-3722.304151,-3063.094897,4820.591098
3.2008,-3877.621533,-2832.712502,4802.104629
3.2208,-4018.961878,-2594.627199,4783.737543
3.2408,-4145.951432,-2349.675219,4765.489158
3.2608,-4258.265969,-2098.710470,4747.358707
3.2808,-4355.631597,-1842.601630,4729.345343
3.3008,-4437.825400,-1582.229199,4711.448134
3.3208,-4504.675902,-1318.482526,4693.666068
3.3408,-4556.063361,-1052.256819,4675.998050
3.3608,-4591.919889,-784.450156,4658.442907
3.3808,-4612.229404,-515.960491,4640.999386
3.4009,-4617.027404,-247.682687,4623.666160
3.4209,-4606.400573,19.494438,4606.441824
3.4409,-4580.486225,284.691028,4589.324900
3.4609,-4539.471569,547.039053,4572.313840
3.4809,-4483.592827,805.685135,4555.407027
3.5009,-4413.134184,1059.793300,4538.602776
3.5209,-4328.426582,1308.547662,4521.899342
3.5409,-4229.846374,1551.155032,4505.294916
3.5609,-4117.813821,1786.847431,4488.787632
3.5809,-3992.791462,2014.884514,4472.375573
3.6009,-3855.282340,2234.555884,4456.056768
3.6209,-3705.828107,2445.183299,4439.829200
3.6409,-3545.007012,2646.122759,4423.690809
3.6609,-3373.431773,2836.766470,4407.639497
3.6809,-3191.747340,3016.544677,4391.673129
3.7009,-3000.628572,3184.927359,4375.789541
3.7209,-2800.777816,3341.425786,4359.986543
3.7409,-2592.922410,3485.593927,4344.261923
3.7609,-2377.812115,3617.029713,4328.613450
3.7809,-2156.216481,3735.376141,4313.038885
3.8010,-1928.922163,3840.322223,4297.535978
3.8210,-1696.730194,3931.603781,4282.102479
3.8410,-1460.453219,4009.004076,4266.736140
3.8610,-1220.912705,4072.354275,4251.434719
3.8810,-978.936139,4121.533756,4236.195990
3.9010,-735.354214,4156.470252,4221.017742
3.9210,-490.998023,4177.139828,4205.897787
3.9410,-246.696260,4183.566697,4190.833969
3.9610,-3.272450,4175.822877,4175.824159
3.9810,238.457795,4154.027685,4160.866272
4.0010,477.689480,4118.347079,4145.958261
4.0210,713.630878,4068.992841,4131.098132
4.0410,945.506127,4006.221615,4116.283939
4.0610,1172.557756,3930.333795,4101.513798
4.0810,1394.049144,3841.672272,4086.785884
4.1010,1609.266888,3740.621043,4072.098440
4.1210,1817.523086,3627.603693,4057.449781
4.1410,2018.157523,3503.081743,4042.838296
4.1610,2210.539747,3367.552883,4028.262454
4.1810,2394.071041,3221.549094,4013.720806
4.2011,2568.186272,3065.634655,3999.211993
4.2211,2732.355625,2900.404062,3984.734745
4.2411,2886.086198,2726.479844,3970.287884
4.2611,3028.923471,2544.510303,3955.870331
4.2811,3160.452641,2355.167174,3941.481107
4.3011,3280.299806,2159.143220,3927.119334
4.3211,3388.133011,1957.149764,3912.784239
4.3411,3483.663149,1749.914175,3898.475157
4.3611,3566.644701,1538.177308,3884.191532
4.3811,3636.876341,1322.690913,3869.932916
4.4011,3694.201370,1104.215021,3855.698974
4.4211,3738.508011,883.515312,3841.489484
4.4411,3769.729540,661.360482,3827.304338
4.4611,3787.844270,438.519605,3813.143540
4.4811,3792.875375,215.759514,3799.007209
4.5011,3784.890570,-6.157797,3784.895579
4.5211,3764.001637,-226.477751,3770.808997
4.5411,3730.363798,-444.455713,3756.747922
4.5611,3684.174956,-659.359485,3742.712925
4.5811,3625.674782,-870.471729,3728.704689
4.6012,3555.143669,-1077.092343,3714.724004
4.6212,3472.901556,-1278.540756,3700.771768
4.6412,3379.306615,-1474.158149,3686.848986
4.6612,3274.753820,-1663.309587,3672.956761
4.6812,3159.673399,-1845.386067,3659.096299
4.7012,3034.529164,-2019.806457,3645.268902
4.7212,2899.816744,-2186.019337,3631.475966
4.7412,2756.061717,-2343.504727,3617.718976
4.7612,2603.817641,-2491.775695,3603.999504
4.7812,2443.664009,-2630.379856,3590.319203
4.8012,2276.204120,-2758.900728,3576.679804
4.8212,2102.062879,-2876.958972,3563.083114
4.8412,1921.884536,-2984.213496,3549.531005
4.8612,1736.330368,-3080.362412,3536.025415
4.8812,1546.076317,-3165.143873,3522.568341
4.9012,1351.810588,-3238.336748,3509.161831
4.9212,1154.231212,-3299.761169,3495.807984
4.9412,954.043597,-3349.278927,3482.508940
4.9612,751.958058,-3386.793725,3469.266876
4.9812,548.687347,-3412.251282,3456.084000
5.0013,344.944182,-3425.639298,3442.962545
5.0213,141.438794,-3426.987271,3429.904764
5.0413,-61.123509,-3416.366172,3416.912920
5.0613,-262.044748,-3393.887979,3403.989287
5.0813,-460.636642,-3359.705074,3391.136137
5.1013,-656.222931,-3314.009497,3378.355737
5.1213,-848.141648,-3257.032081,3365.650343
5.1413,-1035.747330,-3189.041439,3353.022194
5.1613,-1218.413157,-3110.342844,3340.473503
5.1813,-1395.533025,-3021.276973,3328.006456
5.2013,-1566.523530,-2922.218549,3315.623202
5.2213,-1730.825865,-2813.574858,3303.325848
5.2413,-1887.907627,-2695.784172,3291.116453
5.2613,-2037.264517,-2569.314071,3278.997028
5.2813,-2178.421944,-2434.659663,3266.969519
5.3013,-2310.936508,-2292.341731,3255.035815
5.3213,-2434.397375,-2142.904791,3243.197731
5.3413,-2548.427535,-1986.915081,3231.457015
5.3613,-2652.684924,-1824.958482,3219.815331
5.3813,-2746.863437,-1657.638385,3208.274265
5.4014,-2830.693800,-1485.573507,3196.835316
5.4214,-2903.944311,-1309.395662,3185.499892
5.4414,-2966.421453,-1129.747497,3174.269308
5.4614,-3017.970366,-947.280207,3163.144784
5.4814,-3058.475190,-762.651227,3152.127437
5.5014,-3087.859259,-576.521914,3141.218286
5.5214,-3106.085173,-389.555227,3130.418243
5.5414,-3113.154720,-202.413411,3119.728113
5.5614,-3109.108675,-15.755702,3109.148597
5.5814,-3094.026453,169.763960,3098.680283
5.6014,-3068.025637,353.499173,3088.323651
5.6214,-3031.261373,534.813292,3078.079071
5.6414,-2983.925640,713.081593,3067.946802
5.6614,-2926.246392,887.693391,3057.926994
5.6814,-2858.486580,1058.054100,3048.019686
5.7014,-2780.943061,1223.587219,3038.224809
5.7214,-2693.945388,1383.736258,3028.542188
5.7414,-2597.854495,1537.966574,3018.971540
5.7614,-2493.061284,1685.767128,3009.512481
5.7814,-2379.985103,1826.652151,3000.164523
5.8015,-2259.072144,1960.162714,2990.927083
5.8215,-2130.793750,2085.868196,2981.799479
5.8415,-1995.644639,2203.367646,2972.780938
5.8615,-1854.141061,2312.291040,2963.870599
5.8815,-1706.818888,2412.300416,2955.067514
5.9015,-1554.231638,2503.090899,2946.370654
5.9215,-1396.948457,2584.391605,2937.778916
5.9415,-1235.552046,2655.966417,2929.291120
5.9615,-1070.636558,2717.614643,2920.906022
5.9815,-902.805463,2769.171544,2912.622314
6.0015,-732.669385,2810.508729,2904.438628
6.0215,-560.843932,2841.534435,2896.353546
6.0415,-387.947517,2862.193662,2888.365599
6.0615,-214.599172,2872.468191,2880.473279
6.0815,-41.416381,2872.376466,2872.675039
6.1015,130.987077,2861.973352,2864.969298
6.1215,302.003268,2841.349766,2857.354453
6.1415,471.032197,2810.632186,2849.828875
6.1615,637.483882,2769.982033,2842.390923
6.1815,800.780371,2719.594935,2835.038944
6.2016,960.357715,2659.699883,2827.771279
6.2216,1115.667879,2590.558258,2820.586269
6.2416,1266.180585,2512.462767,2813.482260
6.2616,1411.385099,2425.736260,2806.457608
6.2816,1550.791921,2330.730458,2799.510681
6.3016,1683.934410,2227.824574,2792.639867
6.3216,1810.370311,2117.423855,2785.843579
6.3416,1929.683197,1999.958035,2779.120253
6.3616,2041.483805,1875.879706,2772.468359
6.3816,2145.411283,1745.662624,2765.886399
6.4016,2241.134319,1609.799941,2759.372915
6.4216,2328.352170,1468.802378,2752.926490
6.4416,2406.795577,1323.196355,2746.545747
6.4616,2476.227561,1173.522056,2740.229361
6.4816,2536.444111,1020.331473,2733.976050
6.5016,2587.274745,864.186404,2727.784586
6.5216,2628.582955,705.656432,2721.653790
6.5416,2660.266532,545.316887,2715.582539
6.5616,2682.257761,383.746792,2709.569762
6.5816,2694.523508,221.526806,2703.614444
6.6017,2697.065172,59.237176,2697.715623
6.6217,2689.918521,-102.544303,2691.872394
6.6417,2673.153414,-263.244319,2686.083905
6.6617,2646.873390,-422.296033,2680.349358
6.6817,2611.215158,-579.141052,2674.668010
6.7017,2566.347959,-733.231352,2669.039165
6.7217,2512.472821,-884.031169,2663.462180
6.7417,2449.821709,-1031.018824,2657.936459
6.7617,2378.656566,-1173.688499,2652.461452
6.7817,2299.268254,-1311.551953,2647.036650
6.8017,2211.975396,-1444.140156,2641.661588
6.8217,2117.123131,-1571.004861,2636.335833
6.8417,2015.081776,-1691.720086,2631.058991
6.8617,1906.245405,-1805.883520,2625.830694
6.8817,1791.030356,-1913.117835,2620.650603
6.9017,1669.873661,-2013.071898,2615.518402
6.9217,1543.231412,-2105.421903,2610.433792
6.9417,1411.577069,-2189.872380,2605.396488
6.9617,1275.399707,-2266.157118,2600.406217
6.9817,1135.202228,-2334.039969,2595.462709
7.0018,991.499520,-2393.315550,2590.565695
7.0218,844.816591,-2443.809831,2585.714903
7.0418,695.686666,-2485.380606,2580.910051
7.0618,544.649274,-2517.917859,2576.150845
7.0818,392.248314,-2541.344004,2571.436970
7.1018,239.030116,-2555.614021,2566.768088
7.1218,85.541501,-2560.715464,2562.143835
7.1418,-67.672150,-2556.668367,2557.563813
7.1618,-220.068816,-2543.525027,2553.027585
7.1818,-371.111733,-2521.369679,2548.534673
7.2018,-520.271268,-2490.318055,2544.084552
7.2218,-667.026758,-2450.516838,2539.676647
7.2418,-810.868308,-2402.143010,2535.310327
7.2618,-951.298542,-2345.403089,2530.984901
7.2818,-1087.834310,-2280.532276,2526.699616
7.3018,-1220.008328,-2207.793493,2522.453653
7.3218,-1347.370761,-2127.476336,2518.246122
7.3418,-1469.490732,-2039.895935,2514.076060
7.3618,-1585.957767,-1945.391725,2509.942431
7.3818,-1696.383151,-1844.326147,2505.844116
7.4019,-1800.401206,-1737.083261,2501.779918
7.4219,-1897.670487,-1624.067297,2497.748558
7.4419,-1987.874878,-1505.701137,2493.748673
7.4619,-2070.724600,-1382.424742,2489.778812
7.4819,-2145.957119,-1254.693519,2485.837441
7.5019,-2213.337957,-1122.976646,2481.922936
7.5219,-2272.661397,-987.755352,2478.033588
7.5419,-2323.751084,-849.521166,2474.167600
7.5619,-2366.460520,-708.774132,2470.323088
7.5819,-2400.673452,-566.021003,2466.498084
7.6019,-2426.304153,-421.773424,2462.690533
7.6219,-2443.297587,-276.546098,2458.898299
7.6419,-2451.629475,-130.854954,2455.119163
7.6619,-2451.306243,14.784682,2451.350829
7.6819,-2442.364865,159.859910,2447.590922
7.7019,-2424.872600,303.862055,2443.836998
7.7219,-2398.926622,446.288453,2440.086539
7.7419,-2364.653544,586.644197,2436.336963
7.7619,-2322.208842,724.443860,2432.585623
7.7819,-2271.776180,859.213165,2428.829816
7.8020,-2213.566633,990.490619,2425.066784
7.8220,-2147.817824,1117.829090,2421.293720
7.8420,-2074.792965,1240.797322,2417.507775
7.8620,-1994.779811,1358.981396,2413.706057
7.8820,-1908.089539,1471.986118,2409.885644
7.9020,-1815.055537,1579.436335,2406.043586
7.9220,-1716.032132,1680.978177,2402.176911
7.9420,-1611.393241,1776.280213,2398.282630
7.9620,-1501.530958,1865.034530,2394.357746
7.9820,-1386.854090,1946.957717,2390.399260
8.0020,-1267.786633,2021.791761,2386.404172
8.0220,-1144.766202,2089.304852,2382.369498
8.0420,-1018.242424,2149.292084,2378.292265
8.0620,-888.675286,2201.576066,2374.169526
8.0820,-756.533467,2246.007426,2369.998364
8.1020,-622.292632,2282.465220,2365.775898
8.1220,-486.433716,2310.857230,2361.499290
8.1420,-349.441199,2331.120167,2357.165753
8.1620,-211.801370,2343.219767,2352.772555
8.1820,-74.000595,2347.150781,2348.317031
8.2021,63.476408,2342.936867,2343.796582
8.2221,200.148283,2330.630375,2339.208687
8.2421,335.538724,2310.312037,2334.550908
8.2621,469.178147,2282.090549,2329.820896
8.2821,600.605326,2246.102064,2325.016396
8.3021,729.368987,2202.509586,2320.135254
8.3221,855.029374,2151.502269,2315.175424
8.3421,977.159753,2093.294628,2310.134970
8.3621,1095.347869,2028.125666,2305.012076
8.3821,1209.197348,1956.257913,2299.805046
8.4021,1318.329032,1877.976389,2294.512313
8.4221,1422.382249,1793.587488,2289.132442
8.4421,1521.016008,1703.417794,2283.664134
8.4621,1613.910129,1607.812831,2278.106232
8.4821,1700.766282,1507.135745,2272.457722
8.5021,1781.308949,1401.765936,2266.717739
8.5221,1855.286303,1292.097633,2260.885570
8.5421,1922.470996,1178.538427,2254.960654
8.5621,1982.660854,1061.507757,2248.942591
8.5821,2035.679485,941.435366,2242.831138
8.6022,2081.376789,818.759723,2236.626214
8.6222,2119.629370,693.926424,2230.327901
8.6422,2150.340859,567.386567,2223.936448
8.6622,2173.442127,439.595129,2217.452267
8.6822,2188.891414,311.009320,2210.875939
8.7022,2196.674345,182.086945,2204.208210
8.7222,2196.803863,53.284773,2197.449995
8.7422,2189.320052,-74.943093,2190.602374
8.7622,2174.289875,-202.146818,2183.666594
8.7822,2151.806803,-327.882422,2176.644068
8.8022,2121.990370,-451.713339,2169.536372
8.8222,2084.985619,-573.211937,2162.345244
8.8422,2040.962469,-691.961008,2155.072582
8.8622,1990.114993,-807.555208,2147.720442
8.8822,1932.660614,-919.602449,2140.291035
8.9022,1868.839222,-1027.725241,2132.786723
8.9222,1798.912206,-1131.561972,2125.210018
8.9422,1723.161429,-1230.768127,2117.563574
8.9622,1641.888118,-1325.017444,2109.850189
8.9822,1555.411700,-1414.002995,2102.072793
9.0023,1464.068576,-1497.438190,2094.234449
9.0223,1368.210833,-1575.057719,2086.338348
9.0423,1268.204916,-1646.618392,2078.387798
9.0623,1164.430246,-1711.899914,2070.386224
9.0823,1057.277801,-1770.705568,2062.337159
9.1023,947.148659,-1822.862806,2054.244238
9.1223,834.452517,-1868.223760,2046.111194
9.1423,719.606179,-1906.665654,2037.941846
9.1623,603.032027,-1938.091132,2029.740097
9.1823,485.156484,-1962.428483,2021.509922
9.2023,366.408455,-1979.631785,2013.255363
9.2223,247.217787,-1989.680946,2004.980524
9.2423,128.013711,-1992.581658,1996.689554
9.2623,9.223307,-1988.365258,1988.386649
9.2823,-108.730023,-1977.088489,1980.076037
9.3023,-225.428059,-1958.833187,1971.761970
9.3223,-340.459244,-1933.705865,1963.448718
9.3423,-453.420135,-1901.837213,1955.140559
9.3623,-563.916817,-1863.381521,1946.841768
9.3823,-671.566275,-1818.516007,1938.556610
9.4024,-775.997727,-1767.440078,1930.289331
9.4224,-876.853901,-1710.374505,1922.044149
9.4424,-973.792260,-1647.560529,1913.825243
9.4624,-1066.486170,-1579.258894,1905.636745
9.4824,-1154.626005,-1505.748820,1897.482733
9.5024,-1237.920185,-1427.326907,1889.367218
9.5224,-1316.096143,-1344.305984,1881.294139
9.5424,-1388.901227,-1257.013905,1873.267353
9.5624,-1456.103515,-1165.792294,1865.290626
9.5824,-1517.492561,-1070.995248,1857.367624
9.6024,-1572.880055,-972.987998,1849.501909
9.6224,-1622.100405,-872.145537,1841.696924
9.6424,-1665.011228,-768.851222,1833.955995
9.6624,-1701.493763,-663.495340,1826.282314
9.6824,-1731.453188,-556.473671,1818.678940
9.7024,-1754.818858,-448.186026,1811.148789
9.7224,-1771.544448,-339.034778,1803.694628
9.7424,-1781.608013,-229.423396,1796.319071
9.7624,-1785.011952,-119.754971,1789.024573
9.7824,-1781.782893,-10.430764,1781.813424
9.8025,-1771.971483,98.151251,1774.687749
9.8225,-1755.652100,205.597812,1767.649501
9.8425,-1732.922470,311.521775,1760.700458
9.8625,-1703.903210,415.543496,1753.842224
9.8825,-1668.737288,517.292176,1747.076224
9.9025,-1627.589400,616.407168,1740.403703
9.9225,-1580.645274,712.539244,1733.825728
9.9425,-1528.110903,805.351815,1727.343185
9.9625,-1470.211704,894.522102,1720.956782
9.9825,-1407.191609,979.742244,1714.667049
10.0025,-1339.312097,1060.720359,1708.474341
10.0225,-1266.851163,1137.181534,1702.378839
10.0425,-1190.102232,1208.868752,1696.380554
10.0625,-1109.373023,1275.543753,1690.479331
10.0825,-1024.984360,1336.987820,1684.674855
10.1025,-937.268950,1393.002489,1678.966652
10.1225,-846.570114,1443.410189,1673.354096
10.1425,-753.240487,1488.054798,1667.836417
10.1625,-657.640692,1526.802124,1662.412706
10.1825,-560.137986,1559.540293,1657.081920
10.2026,-461.104893,1586.180072,1651.842893
10.2226,-360.917815,1606.655092,1646.694341
10.2426,-259.955644,1620.921996,1641.634872
10.2626,-158.598361,1628.960500,1636.662993
10.2826,-57.225644,1630.773372,1631.777118
10.3026,43.784521,1626.386319,1626.975582
10.3226,144.057217,1615.847805,1622.256642
10.3426,243.221957,1599.228774,1617.618494
10.3626,340.914022,1576.622298,1613.059280
10.3826,436.775773,1548.143145,1608.577096
10.4026,530.457934,1513.927269,1604.170002
10.4226,621.620840,1474.131227,1599.836036
10.4426,709.935639,1428.931517,1595.573218
10.4626,795.085461,1378.523856,1591.379562
10.4826,876.766524,1323.122379,1587.253089
10.5026,954.689207,1262.958781,1583.191828
10.5226,1028.579049,1198.281400,1579.193836
10.5426,1098.177697,1129.354234,1575.257198
10.5626,1163.243799,1056.455913,1571.380040
10.5826,1223.553813,979.878619,1567.560538
10.6027,1278.902770,899.926955,1563.796924
10.6227,1329.104947,816.916785,1560.087496
10.6427,1373.994480,731.174022,1556.430623
10.6627,1413.425899,643.033395,1552.824754
10.6827,1447.274579,552.837185,1549.268428
10.7027,1475.437128,460.933937,1545.760270
10.7227,1497.831683,367.677152,1542.299011
10.7427,1514.398129,273.423974,1538.883479
10.7627,1525.098244,178.533853,1535.512615
10.7827,1529.915759,83.367224,1532.185473
10.8027,1528.856331,-11.715833,1528.901221
10.8227,1521.947452,-106.356910,1525.659149
10.8427,1509.238262,-200.200589,1522.458672
10.8627,1490.799292,-292.895737,1519.299326
10.8827,1466.722130,-384.096788,1516.180777
10.9027,1437.119007,-473.464990,1513.102817
10.9227,1402.122311,-560.669637,1510.065368
10.9427,1361.884031,-645.389251,1507.068479
10.9627,1316.575129,-727.312740,1504.112327
10.9827,1266.384841,-806.140505,1501.197215
11.0028,1211.519923,-881.585509,1498.323574
11.0228,1152.203825,-953.374287,1495.491954
11.0428,1088.675813,-1021.247913,1492.703027
11.0628,1021.190036,-1084.962902,1489.957579
11.0828,950.014539,-1144.292057,1487.256513
11.1028,875.430226,-1199.025255,1484.600836
11.1228,797.729790,-1248.970162,1481.991661
11.1428,717.216588,-1293.952889,1479.430198
11.1628,634.203494,-1333.818567,1476.917751
11.1828,549.011714,-1368.431865,1474.455707
11.2028,461.969575,-1397.677421,1472.045537
11.2228,373.411295,-1421.460205,1469.688780
11.2428,283.675727,-1439.705810,1467.387044
11.2628,193.105105,-1452.360657,1465.141993
11.2828,102.043763,-1459.392132,1462.955339
11.3028,10.836868,-1460.788642,1460.828838
11.3228,-80.170862,-1456.559593,1458.764277
11.3428,-170.636419,-1446.735292,1456.763465
11.3628,-260.219771,-1431.366777,1454.828230
11.3828,-348.585099,-1410.525561,1452.960402
11.4029,-435.402028,-1384.303315,1451.161808
11.4229,-520.346822,-1352.811470,1449.434265
11.4429,-603.103563,-1316.180747,1447.779564
11.4629,-683.365285,-1274.560624,1446.199467
11.4829,-760.835086,-1228.118731,1444.695693
11.5029,-835.227188,-1177.040180,1443.269913
11.5229,-906.267958,-1121.526839,1441.923736
11.5429,-973.696883,-1061.796538,1440.658706
11.5629,-1037.267492,-998.082228,1439.476288
11.5829,-1096.748223,-930.631078,1438.377860
11.6029,-1151.923236,-859.703532,1437.364708
11.6229,-1202.593165,-785.572312,1436.438017
11.6429,-1248.575804,-708.521384,1435.598861
11.6629,-1289.706733,-628.844883,1434.848196
11.6829,-1325.839878,-546.846008,1434.186857
11.7029,-1356.847996,-462.835882,1433.615547
11.7229,-1382.623094,-377.132386,1433.134835
11.7429,-1403.076779,-290.058980,1432.745148
11.7629,-1418.140529,-201.943496,1432.446765
11.7829,-1427.765897,-113.116924,1432.239818
11.8030,-1431.924637,-23.912193,1432.124282
11.8230,-1430.608754,65.337062,1432.099975
